PLANTA,TEMPORADA,F. BATCH,%SP+PNIR
MALABRIGO,2021 - I,27/04/2021,72 %
MALABRIGO,2021 - I,28/04/2021,33 %
MALABRIGO,2021 - I,29/04/2021,24 %
MALABRIGO,2021 - I,30/04/2021,17 %
MALABRIGO,2021 - I,01/05/2021,34 %
MALABRIGO,2021 - I,02/05/2021,19 %
MALABRIGO,2021 - I,03/05/2021,28 %
MALABRIGO,2021 - I,04/05/2021,32 %
MALABRIGO,2021 - I,05/05/2021,64 %
MALABRIGO,2021 - I,06/05/2021,56 %
MALABRIGO,2021 - I,07/05/2021,50 %
MALABRIGO,2021 - I,08/05/2021,48 %
MALABRIGO,2021 - I,09/05/2021,87 %
MALABRIGO,2021 - I,10/05/2021,50 %
MALABRIGO,2021 - I,11/05/2021,68 %
MALABRIGO,2021 - I,12/05/2021,88 %
MALABRIGO,2021 - I,13/05/2021,63 %
MALABRIGO,2021 - I,14/05/2021,60 %
MALABRIGO,2021 - I,22/05/2021,26 %
MALABRIGO,2021 - I,24/05/2021,61 %
MALABRIGO,2021 - I,25/05/2021,88 %
MALABRIGO,2021 - I,26/05/2021,77 %
MALABRIGO,2021 - I,27/05/2021,25 %
MALABRIGO,2021 - I,28/05/2021,5 %
MALABRIGO,2021 - I,29/05/2021,0 %
MALABRIGO,2021 - I,30/05/2021,0 %
MALABRIGO,2021 - I,31/05/2021,91 %
MALABRIGO,2021 - I,01/06/2021,94 %
MALABRIGO,2021 - I,03/06/2021,100 %
MALABRIGO,2021 - I,04/06/2021,83 %
MALABRIGO,2021 - I,05/06/2021,100 %
MALABRIGO,2021 - I,06/06/2021,51 %
MALABRIGO,2021 - I,07/06/2021,67 %
MALABRIGO,2021 - I,08/06/2021,68 %
MALABRIGO,2021 - I,09/06/2021,89 %
MALABRIGO,2021 - I,10/06/2021,70 %
MALABRIGO,2021 - I,12/06/2021,73 %
MALABRIGO,2021 - I,13/06/2021,49 %
MALABRIGO,2021 - I,14/06/2021,22 %
MALABRIGO,2021 - I,15/06/2021,38 %
MALABRIGO,2021 - I,16/06/2021,34 %
