PLANTA,TEMPORADA,F. BATCH,%SP+P
MALABRIGO,2025 - I,,0 %
MALABRIGO,2025 - I,23/04/2025,0 %
MALABRIGO,2025 - I,24/04/2025,0 %
MALABRIGO,2025 - I,25/04/2025,7 %
MALABRIGO,2025 - I,26/04/2025,0 %
MALABRIGO,2025 - I,28/04/2025,0 %
MALABRIGO,2025 - I,29/04/2025,47 %
MALABRIGO,2025 - I,30/04/2025,44 %
MALABRIGO,2025 - I,01/05/2025,22 %
MALABRIGO,2025 - I,02/05/2025,0 %
MALABRIGO,2025 - I,03/05/2025,0 %
MALABRIGO,2025 - I,04/05/2025,0 %
MALABRIGO,2025 - I,05/05/2025,0 %
MALABRIGO,2025 - I,06/05/2025,55 %
MALABRIGO,2025 - I,07/05/2025,51 %
MALABRIGO,2025 - I,09/05/2025,27 %
MALABRIGO,2025 - I,11/05/2025,60 %
MALABRIGO,2025 - I,12/05/2025,21 %
MALABRIGO,2025 - I,17/05/2025,0 %
MALABRIGO,2025 - I,18/05/2025,11 %
MALABRIGO,2025 - I,04/07/2025,0 %
MALABRIGO,2025 - I,05/07/2025,0 %
MALABRIGO,2025 - I,06/07/2025,5 %
MALABRIGO,2025 - I,07/07/2025,0 %
MALABRIGO,2025 - I,08/07/2025,18 %
MALABRIGO,2025 - I,09/07/2025,37 %
MALABRIGO,2025 - I,10/07/2025,0 %
MALABRIGO,2025 - I,11/07/2025,32 %
MALABRIGO,2025 - I,12/07/2025,0 %
MALABRIGO,2025 - I,13/07/2025,18 %
MALABRIGO,2025 - I,14/07/2025,18 %
MALABRIGO,2025 - I,15/07/2025,14 %
MALABRIGO,2025 - I,16/07/2025,0 %
MALABRIGO,2025 - I,17/07/2025,0 %
MALABRIGO,2025 - I,18/07/2025,55 %
MALABRIGO,2025 - I,19/07/2025,47 %
MALABRIGO,2025 - I,20/07/2025,6 %
MALABRIGO,2025 - I,21/07/2025,0 %
MALABRIGO,2025 - I,22/07/2025,0 %
MALABRIGO,2025 - I,23/07/2025,5 %
MALABRIGO,2025 - II,07/11/2025,23 %
MALABRIGO,2025 - II,08/11/2025,10 %
MALABRIGO,2025 - II,10/11/2025,7 %
MALABRIGO,2025 - II,11/11/2025,0 %
MALABRIGO,2025 - II,13/11/2025,69 %
