PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Malabrigo,2019 - II,,"61,705",17.9,6.0 %,0.8
Malabrigo,2020 - I,,"129,954",17.4,2.8 %,0.0
Malabrigo,2020 - II,,0,NaN,,NaN
Malabrigo,2020 - II,12/11/20,"2,261",12.1,0.4 %,0.0
Malabrigo,2020 - II,13/11/20,"1,694",9.5,0.0 %,0.0
Malabrigo,2020 - II,14/11/20,822,9.8,0.0 %,0.0
Malabrigo,2020 - II,15/11/20,"1,384",10.2,0.0 %,0.0
Malabrigo,2020 - II,16/11/20,"2,117",12.2,0.0 %,0.0
Malabrigo,2020 - II,17/11/20,"3,372",16.9,0.0 %,0.0
Malabrigo,2020 - II,18/11/20,"1,635",14.2,0.0 %,0.3
Malabrigo,2020 - II,19/11/20,"1,351",11.1,0.0 %,0.0
Malabrigo,2020 - II,20/11/20,"1,927",12.7,0.0 %,0.1
Malabrigo,2020 - II,21/11/20,"1,682",11.8,0.0 %,0.4
Malabrigo,2020 - II,22/11/20,"3,874",15.6,0.8 %,0.0
Malabrigo,2020 - II,23/11/20,"3,332",16.6,1.3 %,0.0
Malabrigo,2020 - II,24/11/20,"2,955",22.2,0.0 %,0.0
Malabrigo,2020 - II,25/11/20,"3,306",19.0,1.8 %,0.0
Malabrigo,2020 - II,26/11/20,"1,998",17.9,0.0 %,0.1
Malabrigo,2020 - II,27/11/20,"4,211",15.5,0.0 %,0.1
Malabrigo,2020 - II,28/11/20,"2,104",15.9,1.1 %,0.0
Malabrigo,2020 - II,29/11/20,"2,226",17.0,0.5 %,0.0
Malabrigo,2020 - II,30/11/20,"2,376",18.5,4.4 %,0.0
Malabrigo,2020 - II,1/12/20,"2,350",14.2,0.0 %,0.0
Malabrigo,2020 - II,2/12/20,"3,084",25.3,1.1 %,4.3
Malabrigo,2020 - II,4/12/20,938,30.1,0.0 %,0.0
Malabrigo,2020 - II,5/12/20,336,13.0,0.0 %,0.4
Malabrigo,2020 - II,6/12/20,"3,552",16.5,1.3 %,1.6
Malabrigo,2020 - II,7/12/20,"3,916",15.8,0.0 %,0.2
Malabrigo,2020 - II,8/12/20,"3,227",18.1,0.0 %,1.6
Malabrigo,2020 - II,9/12/20,"2,608",18.9,0.0 %,0.0
Malabrigo,2020 - II,10/12/20,"3,569",19.7,0.0 %,0.0
Malabrigo,2020 - II,11/12/20,"1,453",19.3,0.2 %,0.5
Malabrigo,2020 - II,12/12/20,"3,201",16.8,0.0 %,0.0
Malabrigo,2020 - II,13/12/20,"3,262",14.3,0.0 %,0.0
Malabrigo,2020 - II,14/12/20,"4,316",23.4,0.2 %,0.5
Malabrigo,2020 - II,15/12/20,"1,699",28.4,0.0 %,0.0
Malabrigo,2020 - II,17/12/20,"2,721",12.8,0.0 %,0.1
Malabrigo,2020 - II,18/12/20,"2,645",12.6,0.6 %,0.4
Malabrigo,2020 - II,19/12/20,"2,734",13.7,0.0 %,0.4
Malabrigo,2020 - II,20/12/20,"2,686",12.4,0.3 %,0.7
Malabrigo,2020 - II,21/12/20,"1,138",8.7,0.0 %,0.3
Malabrigo,2020 - II,22/12/20,"3,060",15.0,0.0 %,2.2
Malabrigo,2020 - II,23/12/20,"2,961",18.2,0.4 %,3.9
Malabrigo,2020 - II,24/12/20,"2,844",14.9,0.2 %,1.8
Malabrigo,2020 - II,25/12/20,"1,184",11.6,1.3 %,2.7
Malabrigo,2020 - II,26/12/20,"3,905",18.1,0.2 %,0.6
Malabrigo,2020 - II,27/12/20,"3,270",15.9,0.0 %,1.8
Malabrigo,2020 - II,28/12/20,"2,710",15.5,0.0 %,0.2
Malabrigo,2020 - II,29/12/20,"3,204",16.9,0.0 %,8.7
Malabrigo,2020 - II,30/12/20,"2,763",15.6,0.4 %,5.9
Malabrigo,2020 - II,31/12/20,"2,426",15.5,1.7 %,1.5
Malabrigo,2020 - II,1/01/21,"2,997",20.8,0.0 %,0.8
Malabrigo,2020 - II,2/01/21,"2,550",21.8,0.1 %,9.3
Malabrigo,2020 - II,3/01/21,"3,958",17.2,0.0 %,0.0
Malabrigo,2020 - II,4/01/21,"1,561",13.9,0.0 %,3.8
Malabrigo,2020 - II,5/01/21,"3,774",16.4,0.0 %,1.8
Malabrigo,2020 - II,6/01/21,"2,494",16.2,0.0 %,0.9
Malabrigo,2020 - II,7/01/21,"2,546",23.6,0.0 %,3.1
Malabrigo,2020 - II,8/01/21,"3,288",27.0,0.0 %,3.9
Malabrigo,2020 - II,9/01/21,"2,755",20.5,1.4 %,1.2
Malabrigo,2020 - II,10/01/21,"2,731",25.2,0.0 %,0.8
Malabrigo,2020 - II,11/01/21,"3,500",24.2,0.0 %,2.0
Malabrigo,2020 - II,12/01/21,806,28.9,0.0 %,8.7
Malabrigo,2020 - II,16/01/21,592,11.4,0.5 %,0.8
Malabrigo,2020 - II,17/01/21,"1,192",20.8,5.1 %,15.0
Malabrigo,2020 - II,18/01/21,931,14.4,0.0 %,1.9
Malabrigo,2020 - II,19/01/21,97,10.3,0.0 %,0.0
Malabrigo,2020 - II,20/01/21,231,10.1,0.0 %,0.0
Malabrigo,2020 - II,21/01/21,45,8.8,0.0 %,0.0
Malabrigo,2020 - II,22/01/21,167,14.2,9.3 %,5.4
Malabrigo,2021 - I,27/04/21,489,9.4,16.9 %,0.0
Malabrigo,2021 - I,28/04/21,"2,230",11.9,11.6 %,0.0
Malabrigo,2021 - I,29/04/21,999,16.9,11.8 %,0.0
Malabrigo,2021 - I,30/04/21,736,11.3,26.4 %,0.0
Malabrigo,2021 - I,1/05/21,"1,248",11.7,19.4 %,0.0
Malabrigo,2021 - I,2/05/21,"2,074",17.3,7.1 %,3.8
Malabrigo,2021 - I,3/05/21,"1,388",22.2,0.0 %,3.5
Malabrigo,2021 - I,4/05/21,"3,170",15.5,2.0 %,0.0
Malabrigo,2021 - I,5/05/21,"3,812",17.0,2.6 %,4.4
Malabrigo,2021 - I,6/05/21,"2,368",14.1,7.6 %,3.3
Malabrigo,2021 - I,7/05/21,"3,624",15.3,7.3 %,0.1
Malabrigo,2021 - I,8/05/21,"2,403",19.2,6.0 %,0.2
Malabrigo,2021 - I,9/05/21,"2,755",20.8,5.8 %,0.2
Malabrigo,2021 - I,10/05/21,"2,111",14.9,12.5 %,0.7
Malabrigo,2021 - I,11/05/21,"2,828",25.7,14.8 %,2.9
Malabrigo,2021 - I,12/05/21,"1,584",27.5,5.8 %,9.2
Malabrigo,2021 - I,13/05/21,"2,216",13.5,0.9 %,0.3
Malabrigo,2021 - I,14/05/21,"3,375",18.3,2.6 %,0.0
Malabrigo,2021 - I,22/05/21,713,6.6,30.8 %,0.7
Malabrigo,2021 - I,24/05/21,"1,424",20.0,7.4 %,0.3
Malabrigo,2021 - I,25/05/21,"2,370",16.1,5.7 %,0.4
Malabrigo,2021 - I,26/05/21,"2,796",25.2,8.8 %,0.0
Malabrigo,2021 - I,27/05/21,"3,274",16.3,16.0 %,0.0
Malabrigo,2021 - I,28/05/21,"3,907",20.3,9.8 %,0.0
Malabrigo,2021 - I,29/05/21,"3,761",21.1,34.9 %,0.0
Malabrigo,2021 - I,30/05/21,322,11.8,33.1 %,0.0
Malabrigo,2021 - I,31/05/21,"2,688",12.2,20.3 %,0.0
Malabrigo,2021 - I,1/06/21,"1,635",25.2,14.7 %,0.0
Malabrigo,2021 - I,3/06/21,"1,699",13.0,14.9 %,0.0
Malabrigo,2021 - I,4/06/21,"3,921",16.0,16.2 %,0.0
Malabrigo,2021 - I,5/06/21,"2,690",19.2,15.5 %,0.0
Malabrigo,2021 - I,6/06/21,"3,462",13.8,9.3 %,0.0
Malabrigo,2021 - I,7/06/21,"3,473",15.8,18.8 %,0.0
Malabrigo,2021 - I,8/06/21,"3,743",16.1,12.2 %,0.0
Malabrigo,2021 - I,9/06/21,"1,904",24.0,19.3 %,0.1
Malabrigo,2021 - I,10/06/21,"1,872",15.9,21.4 %,0.0
Malabrigo,2021 - I,12/06/21,626,29.4,4.6 %,0.0
Malabrigo,2021 - I,13/06/21,"3,009",12.7,4.4 %,0.0
Malabrigo,2021 - I,14/06/21,"2,971",15.7,8.6 %,0.0
Malabrigo,2021 - I,15/06/21,"2,872",20.0,13.5 %,0.0
Malabrigo,2021 - I,16/06/21,"3,225",14.7,7.3 %,0.0
