PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond
Malabrigo,2025 - I,23/04/25,279,9.7,57.8 %,6.3
Malabrigo,2025 - I,24/04/25,"1,149",10.1,69.4 %,5.4
Malabrigo,2025 - I,25/04/25,858,13.4,25.6 %,11.3
Malabrigo,2025 - I,26/04/25,215,7.8,74.1 %,3.2
Malabrigo,2025 - I,28/04/25,60,4.7,67.9 %,6.3
Malabrigo,2025 - I,29/04/25,"2,836",16.2,26.7 %,0.4
Malabrigo,2025 - I,30/04/25,"2,410",9.0,68.5 %,3.6
Malabrigo,2025 - I,1/05/25,"1,459",9.7,51.3 %,0.9
Malabrigo,2025 - I,2/05/25,926,10.6,58.5 %,2.3
Malabrigo,2025 - I,3/05/25,"1,377",13.5,39.1 %,1.8
Malabrigo,2025 - I,4/05/25,"3,255",19.7,21.7 %,1.7
Malabrigo,2025 - I,5/05/25,395,6.4,48.5 %,1.8
Malabrigo,2025 - I,6/05/25,"1,540",14.5,42.4 %,2.3
Malabrigo,2025 - I,7/05/25,"1,333",12.0,39.1 %,1.5
Malabrigo,2025 - I,9/05/25,"2,733",17.9,16.9 %,0.0
Malabrigo,2025 - I,11/05/25,"2,162",26.0,29.5 %,0.0
Malabrigo,2025 - I,12/05/25,"2,835",20.4,39.5 %,0.6
Malabrigo,2025 - I,17/05/25,781,17.0,42.6 %,9.1
Malabrigo,2025 - I,18/05/25,"1,377",23.0,6.5 %,26.7
Malabrigo,2025 - I,4/07/25,961,20.1,71.6 %,0.3
Malabrigo,2025 - I,5/07/25,"1,587",19.1,65.6 %,0.3
Malabrigo,2025 - I,6/07/25,869,22.6,69.8 %,0.0
Malabrigo,2025 - I,7/07/25,510,19.8,64.2 %,0.1
Malabrigo,2025 - I,8/07/25,892,22.5,43.1 %,2.9
Malabrigo,2025 - I,9/07/25,"1,041",18.2,70.5 %,3.1
Malabrigo,2025 - I,10/07/25,803,24.9,79.3 %,0.3
Malabrigo,2025 - I,11/07/25,639,14.6,10.5 %,0.0
Malabrigo,2025 - I,12/07/25,382,31.8,27.3 %,0.2
Malabrigo,2025 - I,13/07/25,973,25.0,67.2 %,0.9
Malabrigo,2025 - I,14/07/25,545,19.1,87.6 %,1.9
Malabrigo,2025 - I,15/07/25,930,26.6,63.7 %,0.0
Malabrigo,2025 - I,16/07/25,140,22.8,84.8 %,2.1
Malabrigo,2025 - I,17/07/25,573,14.8,80.8 %,7.9
Malabrigo,2025 - I,18/07/25,211,19.4,91.5 %,4.4
Malabrigo,2025 - I,19/07/25,"1,465",19.6,55.8 %,0.4
Malabrigo,2025 - I,20/07/25,"3,604",27.2,71.4 %,3.1
Malabrigo,2025 - I,21/07/25,"2,606",24.7,70.1 %,3.7
Malabrigo,2025 - I,22/07/25,"2,616",26.5,75.9 %,3.2
Malabrigo,2025 - I,23/07/25,"4,258",29.2,79.5 %,2.8
Malabrigo,2025 - II,,0,NaN,,NaN
Malabrigo,2025 - II,7/11/25,"2,235",12.3,29.1 %,0.1
Malabrigo,2025 - II,8/11/25,"5,407",20.0,28.4 %,0.0
Malabrigo,2025 - II,10/11/25,"2,968",13.1,31.0 %,0.0
Malabrigo,2025 - II,11/11/25,"3,576",19.4,33.7 %,0.0
Malabrigo,2025 - II,13/11/25,"2,525",12.5,36.5 %,0.0
Malabrigo,2025 - II,14/11/25,"3,294",14.9,41.6 %,0.0
Malabrigo,2025 - II,15/11/25,"2,803",12.7,48.2 %,0.0
Malabrigo,2025 - II,16/11/25,"3,262",18.2,63.5 %,0.0
Malabrigo,2025 - II,17/11/25,"2,904",27.7,69.6 %,0.0
Malabrigo,2025 - II,18/11/25,"2,371",13.1,22.9 %,0.0
Malabrigo,2025 - II,19/11/25,"3,832",17.1,9.1 %,0.0
Malabrigo,2025 - II,20/11/25,"3,358",13.8,10.7 %,1.2
Malabrigo,2025 - II,21/11/25,"2,811",20.9,10.1 %,0.4
Malabrigo,2025 - II,22/11/25,"2,502",20.2,28.8 %,0.0
