PLANTA,TEMPORADA,Fecha_Batch,DESCARG,TDC_POND,JUVX2,Munida_pond,ANO,MES
CALLAO,2020 - II,12/11/2020,574,12.8,0.125,0.065,2020,11
CALLAO,2020 - II,13/11/2020,2891,13.9,0.156,0.019,2020,11
CALLAO,2020 - II,14/11/2020,3484,12,0.092,0.042,2020,11
CALLAO,2020 - II,15/11/2020,3333,15.1,0.101,0.048,2020,11
CALLAO,2020 - II,16/11/2020,4296,15.3,0.247,0.009,2020,11
CALLAO,2020 - II,17/11/2020,396,10,0.197,0.075,2020,11
CALLAO,2020 - II,18/11/2020,1889,10.2,0.119,0.059,2020,11
CALLAO,2020 - II,19/11/2020,2554,19.5,0.072,0.012,2020,11
CALLAO,2020 - II,20/11/2020,1124,8.9,0.035,0.004,2020,11
CALLAO,2020 - II,21/11/2020,1002,10,0.039,0.071,2020,11
CALLAO,2020 - II,24/11/2020,548,16.4,0.072,0.012,2020,11
CALLAO,2020 - II,25/11/2020,1632,15.9,0.059,0.025,2020,11
CALLAO,2020 - II,26/11/2020,608,14.1,0.013,0.031,2020,11
CALLAO,2020 - II,27/11/2020,917,28.7,0.058,0.131,2020,11
CALLAO,2020 - II,03/12/2020,1080,25.5,0.048,0.017,2020,12
CALLAO,2020 - II,04/12/2020,705,13.7,0.166,0.027,2020,12
CALLAO,2020 - II,06/12/2020,3395,15.7,0.155,0.029,2020,12
CALLAO,2020 - II,07/12/2020,2312,11.7,0.026,0.045,2020,12
CALLAO,2020 - II,08/12/2020,3763,14.5,0.092,0.045,2020,12
CALLAO,2020 - II,09/12/2020,2251,10.3,0.095,0.012,2020,12
CALLAO,2020 - II,10/12/2020,2929,13,0.216,0.012,2020,12
CALLAO,2020 - II,11/12/2020,1276,12.6,0.109,0.058,2020,12
CALLAO,2020 - II,12/12/2020,904,8.2,0.071,0.066,2020,12
CALLAO,2020 - II,13/12/2020,351,10.2,0.149,0.052,2020,12
CALLAO,2020 - II,15/12/2020,468,11.3,0.003,0,2020,12
CALLAO,2020 - II,16/12/2020,697,12.1,0.032,0.084,2020,12
CALLAO,2020 - II,17/12/2020,1097,9.5,0.037,0.004,2020,12
CALLAO,2020 - II,18/12/2020,2035,12.3,0.065,0.029,2020,12
CALLAO,2020 - II,20/12/2020,349,8.3,0.029,0.075,2020,12
CALLAO,2020 - II,21/12/2020,1209,12,0.049,0.001,2020,12
CALLAO,2020 - II,27/12/2020,2248,34.9,0.002,0.004,2020,12
