PLANTA,TEMPORADA,DESCARG,TDC_POND,JUVX2,Munida_pond,ANO,MES,Fecha,%SP+P,%SP+P ANTERIOR,ORIGEN
CALLAO,2020 - II,574,12.8,0.125,0.065,2020,11,12/11/2020,,,solo calidadmp
CALLAO,2020 - II,2891,13.9,0.156,0.019,2020,11,13/11/2020,,,solo calidadmp
CALLAO,2020 - II,3484,12,0.092,0.042,2020,11,14/11/2020,,,solo calidadmp
CALLAO,2020 - II,3333,15.1,0.101,0.048,2020,11,15/11/2020,,,solo calidadmp
CALLAO,2020 - II,4296,15.3,0.247,0.009,2020,11,16/11/2020,,,solo calidadmp
CALLAO,2020 - II,396,10,0.197,0.075,2020,11,17/11/2020,,,solo calidadmp
CALLAO,2020 - II,1889,10.2,0.119,0.059,2020,11,18/11/2020,,,solo calidadmp
CALLAO,2020 - II,2554,19.5,0.072,0.012,2020,11,19/11/2020,,,solo calidadmp
CALLAO,2020 - II,1124,8.9,0.035,0.004,2020,11,20/11/2020,,,solo calidadmp
CALLAO,2020 - II,1002,10,0.039,0.071,2020,11,21/11/2020,,,solo calidadmp
CALLAO,2020 - II,548,16.4,0.072,0.012,2020,11,24/11/2020,,,solo calidadmp
CALLAO,2020 - II,1632,15.9,0.059,0.025,2020,11,25/11/2020,,,solo calidadmp
CALLAO,2020 - II,608,14.1,0.013,0.031,2020,11,26/11/2020,,,solo calidadmp
CALLAO,2020 - II,917,28.7,0.058,0.131,2020,11,27/11/2020,,,solo calidadmp
CALLAO,2020 - II,1080,25.5,0.048,0.017,2020,12,03/12/2020,,,solo calidadmp
CALLAO,2020 - II,705,13.7,0.166,0.027,2020,12,04/12/2020,,,solo calidadmp
CALLAO,2020 - II,3395,15.7,0.155,0.029,2020,12,06/12/2020,,,solo calidadmp
CALLAO,2020 - II,2312,11.7,0.026,0.045,2020,12,07/12/2020,,,solo calidadmp
CALLAO,2020 - II,3763,14.5,0.092,0.045,2020,12,08/12/2020,,,solo calidadmp
CALLAO,2020 - II,2251,10.3,0.095,0.012,2020,12,09/12/2020,,,solo calidadmp
CALLAO,2020 - II,2929,13,0.216,0.012,2020,12,10/12/2020,,,solo calidadmp
CALLAO,2020 - II,1276,12.6,0.109,0.058,2020,12,11/12/2020,,,solo calidadmp
CALLAO,2020 - II,904,8.2,0.071,0.066,2020,12,12/12/2020,,,solo calidadmp
CALLAO,2020 - II,351,10.2,0.149,0.052,2020,12,13/12/2020,,,solo calidadmp
CALLAO,2020 - II,468,11.3,0.003,0,2020,12,15/12/2020,,,solo calidadmp
CALLAO,2020 - II,697,12.1,0.032,0.084,2020,12,16/12/2020,,,solo calidadmp
CALLAO,2020 - II,1097,9.5,0.037,0.004,2020,12,17/12/2020,,,solo calidadmp
CALLAO,2020 - II,2035,12.3,0.065,0.029,2020,12,18/12/2020,,,solo calidadmp
CALLAO,2020 - II,349,8.3,0.029,0.075,2020,12,20/12/2020,,,solo calidadmp
CALLAO,2020 - II,1209,12,0.049,0.001,2020,12,21/12/2020,,,solo calidadmp
CALLAO,2020 - II,2248,34.9,0.002,0.004,2020,12,27/12/2020,,,solo calidadmp
CALLAO,2020 - II,548,8,0.163,0.001,2021,1,05/01/2021,,,solo calidadmp
CALLAO,2020 - II,244,5.8,0.011,0.03,2021,1,14/01/2021,,,solo calidadmp
CALLAO,2020 - II,370,11.6,0.162,0.003,2021,1,15/01/2021,,,solo calidadmp
CALLAO,2020 - II,905,10.5,0.247,0.003,2021,1,16/01/2021,,,solo calidadmp
CALLAO,2020 - II,276,5.8,0.038,0,2021,1,17/01/2021,,,solo calidadmp
CALLAO,2020 - II,431,7.5,0.145,0,2021,1,18/01/2021,,,solo calidadmp
CALLAO,2020 - II,3719,20.3,0.22,0.02,2021,1,20/01/2021,,,solo calidadmp
CALLAO,2020 - II,852,6.3,0.606,0.002,2021,1,21/01/2021,,,solo calidadmp
CALLAO,2020 - II,43,14.6,0.446,0.014,2021,1,22/01/2021,,,solo calidadmp
CALLAO,2021 - I,36,3.7,0.854,0,2021,4,23/04/2021,,,solo calidadmp
CALLAO,2021 - I,1084,11.1,0.247,0,2021,4,24/04/2021,0.4,,ambas
CALLAO,2021 - I,3563,12.2,0.544,0,2021,4,25/04/2021,0.06,0.4,ambas
CALLAO,2021 - I,1637,16.7,0.812,0,2021,4,26/04/2021,0,0.06,ambas
CALLAO,2021 - I,2304,17.7,0.201,0.004,2021,4,27/04/2021,0.78,0,ambas
CALLAO,2021 - I,4071,18.9,0.195,0.014,2021,4,28/04/2021,0.56,0.78,ambas
CALLAO,2021 - I,4579,21.5,0.183,0.009,2021,4,29/04/2021,0.42,0.56,ambas
CALLAO,2021 - I,1631,21.6,0.347,0.023,2021,4,30/04/2021,0.26,0.42,ambas
CALLAO,2021 - I,2780,25.6,0.124,0.005,2021,5,01/05/2021,0.55,0.26,ambas
CALLAO,2021 - I,3291,27.6,0.039,0,2021,5,02/05/2021,0.46,0.55,ambas
CALLAO,2021 - I,2988,27.6,0.123,0,2021,5,03/05/2021,0.65,0.46,ambas
CALLAO,2021 - I,2348,22.7,0.349,0,2021,5,04/05/2021,0.03,0.65,ambas
CALLAO,2021 - I,661,27.6,0.614,0,2021,5,05/05/2021,0.29,0.03,ambas
CALLAO,2021 - I,708,23.7,0.178,0.019,2021,5,06/05/2021,0,0.29,ambas
CALLAO,2021 - I,677,15,0.049,0,2021,5,10/05/2021,0.32,,ambas
CALLAO,2021 - I,4563,12.6,0.1,0,2021,5,11/05/2021,0.3,0.32,ambas
CALLAO,2021 - I,3391,17.1,0.172,0,2021,5,12/05/2021,0.36,0.3,ambas
CALLAO,2021 - I,2993,11.6,0.197,0,2021,5,13/05/2021,0.39,0.36,ambas
CALLAO,2021 - I,3764,17.6,0.251,0,2021,5,14/05/2021,0.55,0.39,ambas
CALLAO,2021 - I,3542,13.7,0.224,0,2021,5,15/05/2021,0.4,0.55,ambas
CALLAO,2021 - I,2214,21.7,0.166,0,2021,5,16/05/2021,0,0.4,ambas
CALLAO,2021 - I,603,11.5,0.264,0,2021,5,17/05/2021,0,0,ambas
CALLAO,2021 - I,197,8.8,0.632,0.001,2021,5,18/05/2021,0,0,ambas
CALLAO,2021 - I,163,27.2,0.41,0,2021,5,19/05/2021,,,solo calidadmp
CALLAO,2021 - I,420,10.7,0.132,0,2021,5,21/05/2021,0.3,,ambas
CALLAO,2021 - I,776,12.9,0.165,0,2021,5,22/05/2021,0.61,0.3,ambas
CALLAO,2021 - I,832,9.8,0.264,0.003,2021,5,23/05/2021,0.69,0.61,ambas
CALLAO,2021 - I,4432,15.5,0.081,0,2021,5,24/05/2021,0.7,0.69,ambas
CALLAO,2021 - I,1589,12.6,0.196,0,2021,5,25/05/2021,0.32,0.7,ambas
CALLAO,2021 - I,25,5.5,0.357,0.067,2021,5,26/05/2021,1,0.32,ambas
CALLAO,2021 - I,233,14.5,0.13,0,2021,5,28/05/2021,0,,ambas
CALLAO,2021 - I,228,12.9,0.126,0,2021,5,29/05/2021,1,0,ambas
CALLAO,2021 - I,602,9.7,0.07,0,2021,5,30/05/2021,1,1,ambas
CALLAO,2021 - I,2493,26.8,0.228,0,2021,6,01/06/2021,0,,ambas
CALLAO,2021 - I,1408,8.2,0.124,0,2021,6,02/06/2021,1,0,ambas
CALLAO,2021 - I,4087,14.2,0.279,0,2021,6,03/06/2021,0.87,1,ambas
CALLAO,2021 - I,3352,14,0.216,0,2021,6,04/06/2021,0.43,0.87,ambas
CALLAO,2021 - I,3191,13.6,0.181,0,2021,6,05/06/2021,0.66,0.43,ambas
CALLAO,2021 - I,2325,12,0.099,0,2021,6,06/06/2021,0.85,0.66,ambas
CALLAO,2021 - I,1106,11.6,0.327,0.001,2021,6,07/06/2021,0.5,0.85,ambas
CALLAO,2021 - I,1681,12.8,0.103,0,2021,6,08/06/2021,0.72,0.5,ambas
CALLAO,2021 - I,3718,15.7,0.252,0,2021,6,09/06/2021,0.53,0.72,ambas
CALLAO,2021 - I,293,6.5,0.183,0,2021,6,10/06/2021,0,0.53,ambas
CALLAO,2021 - I,1579,12.1,0.313,0,2021,6,11/06/2021,1,0,ambas
CALLAO,2021 - I,490,7.2,0.263,0.003,2021,6,12/06/2021,0.76,1,ambas
CALLAO,2021 - I,1004,12.2,0.445,0,2021,6,13/06/2021,1,0.76,ambas
CALLAO,2021 - I,736,7.7,0.535,0.034,2021,6,15/06/2021,0.61,,ambas
CALLAO,2021 - I,798,13.2,0.647,0.022,2021,6,19/06/2021,0.73,,ambas
CALLAO,2021 - I,1067,11.2,0.373,0,2021,6,22/06/2021,1,,ambas
CALLAO,2021 - II,3591,16.3,0.091,0.067,2021,11,15/11/2021,0.07,,ambas
CALLAO,2021 - II,3197,14.2,0.123,0.025,2021,11,16/11/2021,0.36,0.07,ambas
CALLAO,2021 - II,3106,11.3,0.307,0.017,2021,11,17/11/2021,0.23,0.36,ambas
CALLAO,2021 - II,3087,14.2,0.267,0.017,2021,11,18/11/2021,0.47,0.23,ambas
CALLAO,2021 - II,4304,12.7,0.142,0.008,2021,11,19/11/2021,0.55,0.47,ambas
CALLAO,2021 - II,2120,11.9,0.02,0,2021,11,20/11/2021,0.89,0.55,ambas
CALLAO,2021 - II,3814,13.2,0.106,0.003,2021,11,21/11/2021,0.95,0.89,ambas
CALLAO,2021 - II,3144,13.7,0.051,0.005,2021,11,22/11/2021,0.81,0.95,ambas
CALLAO,2021 - II,1422,14.6,0.006,0.018,2021,11,23/11/2021,0.9,0.81,ambas
CALLAO,2021 - II,1060,26,0.027,0.01,2021,11,24/11/2021,0.85,0.9,ambas
CALLAO,2021 - II,1078,39,0.006,0.001,2021,11,27/11/2021,0.92,,ambas
CALLAO,2021 - II,4097,11.8,0.035,0.029,2021,11,28/11/2021,0.97,0.92,ambas
CALLAO,2021 - II,4155,11.2,0.057,0.019,2021,11,29/11/2021,0.83,0.97,ambas
CALLAO,2021 - II,2163,10.7,0.015,0.001,2021,11,30/11/2021,1,0.83,ambas
CALLAO,2021 - II,3524,22,0,0,2021,12,01/12/2021,0.86,1,ambas
CALLAO,2021 - II,656,28.1,0,0,2021,12,03/12/2021,0.69,,ambas
CALLAO,2021 - II,5109,27.6,0.007,0,2021,12,04/12/2021,0.93,0.69,ambas
CALLAO,2021 - II,4285,12.8,0.007,0.003,2021,12,06/12/2021,0.77,,ambas
CALLAO,2021 - II,3557,10.8,0.064,0.017,2021,12,07/12/2021,0.89,0.77,ambas
CALLAO,2021 - II,4120,14.3,0.215,0.014,2021,12,08/12/2021,0.83,0.89,ambas
CALLAO,2021 - II,3155,12,0.181,0.002,2021,12,09/12/2021,0.99,0.83,ambas
CALLAO,2021 - II,3063,18,0.167,0.001,2021,12,10/12/2021,1,0.99,ambas
CALLAO,2021 - II,4138,19.4,0.178,0,2021,12,11/12/2021,0.79,1,ambas
CALLAO,2021 - II,1895,14.8,0.236,0.001,2021,12,12/12/2021,0.04,0.79,ambas
CALLAO,2021 - II,925,40.4,0.377,0,2021,12,13/12/2021,0.88,0.04,ambas
CALLAO,2021 - II,4119,15.6,0.151,0,2021,12,14/12/2021,0.84,0.88,ambas
CALLAO,2021 - II,2624,20.9,0.096,0,2021,12,15/12/2021,0.79,0.84,ambas
CALLAO,2021 - II,2449,20.1,0.278,0.037,2021,12,16/12/2021,0.97,0.79,ambas
CALLAO,2021 - II,2003,19.6,0.096,0,2021,12,17/12/2021,0.78,0.97,ambas
CALLAO,2021 - II,3903,22.8,0.121,0.002,2021,12,18/12/2021,0.88,0.78,ambas
CALLAO,2021 - II,1998,21.2,0.099,0.024,2021,12,19/12/2021,1,0.88,ambas
CALLAO,2021 - II,1624,29.4,0.17,0.011,2021,12,20/12/2021,0.54,1,ambas
CALLAO,2021 - II,3323,16.9,0.223,0.003,2021,12,21/12/2021,0.67,0.54,ambas
CALLAO,2021 - II,1122,16.4,0.093,0.003,2021,12,22/12/2021,1,0.67,ambas
CALLAO,2021 - II,2596,23.9,0.209,0.008,2021,12,23/12/2021,0.91,1,ambas
CALLAO,2021 - II,2979,16,0.152,0,2021,12,25/12/2021,0.48,,ambas
CALLAO,2021 - II,1690,11,0.097,0,2021,12,26/12/2021,0.55,0.48,ambas
CALLAO,2021 - II,633,11.7,0.142,0.02,2021,12,27/12/2021,1,0.55,ambas
CALLAO,2021 - II,860,8.4,0.149,0,2021,12,28/12/2021,0.62,1,ambas
CALLAO,2021 - II,2362,13.6,0.63,0.001,2021,12,29/12/2021,0.78,0.62,ambas
CALLAO,2021 - II,2826,17.9,0.146,0,2021,12,31/12/2021,0.73,,ambas
CALLAO,2021 - II,865,19.3,0.125,0,2022,1,01/01/2022,0.49,0.73,ambas
CALLAO,2021 - II,2250,31.1,0.134,0.048,2022,1,02/01/2022,0.66,0.49,ambas
CALLAO,2021 - II,249,14.7,0,0,2022,1,03/01/2022,0,0.66,ambas
CALLAO,2022 - I,2163,9.6,0.18,0.001,2022,5,04/05/2022,0.63,,ambas
CALLAO,2022 - I,3783,13.8,0.453,0.001,2022,5,05/05/2022,0.72,0.63,ambas
CALLAO,2022 - I,4006,12,0.395,0.007,2022,5,06/05/2022,0.86,0.72,ambas
CALLAO,2022 - I,4162,10.6,0.268,0.01,2022,5,07/05/2022,0.72,0.86,ambas
CALLAO,2022 - I,4085,14.1,0.16,0.002,2022,5,08/05/2022,0.49,0.72,ambas
CALLAO,2022 - I,3028,20.3,0.086,0.016,2022,5,09/05/2022,0.83,0.49,ambas
CALLAO,2022 - I,3186,16.5,0.162,0.003,2022,5,10/05/2022,0.42,0.83,ambas
CALLAO,2022 - I,2719,12.5,0.079,0,2022,5,11/05/2022,0.57,0.42,ambas
CALLAO,2022 - I,4896,19,0.288,0.021,2022,5,12/05/2022,0.03,0.57,ambas
CALLAO,2022 - I,329,21.4,0.028,0,2022,5,18/05/2022,0.12,,ambas
CALLAO,2022 - I,1760,22.5,0.158,0,2022,5,19/05/2022,0.59,0.12,ambas
CALLAO,2022 - I,970,14.3,0.07,0,2022,5,20/05/2022,0,0.59,ambas
CALLAO,2022 - I,1012,20.9,0.033,0,2022,5,21/05/2022,1,0,ambas
CALLAO,2022 - I,3311,16.9,0.131,0,2022,5,22/05/2022,0.46,1,ambas
CALLAO,2022 - I,3631,16.9,0.173,0.001,2022,5,23/05/2022,0.18,0.46,ambas
CALLAO,2022 - I,1306,17.3,0.199,0,2022,5,24/05/2022,0,0.18,ambas
CALLAO,2022 - I,422,13.5,0.05,0,2022,5,25/05/2022,0,0,ambas
CALLAO,2022 - I,3078,24.9,0.051,0,2022,5,26/05/2022,0,0,ambas
CALLAO,2022 - I,706,9.3,0.112,0.08,2022,5,27/05/2022,0,0,ambas
CALLAO,2022 - I,4204,17.6,0.153,0,2022,5,28/05/2022,0.4,0,ambas
CALLAO,2022 - I,929,13.5,0.199,0,2022,5,29/05/2022,0.25,0.4,ambas
CALLAO,2022 - I,1569,13,0.372,0.003,2022,5,30/05/2022,0.65,0.25,ambas
CALLAO,2022 - I,2512,17.2,0.38,0.006,2022,5,31/05/2022,0.57,0.65,ambas
CALLAO,2022 - I,2147,23.7,0.161,0,2022,6,01/06/2022,0.71,0.57,ambas
CALLAO,2022 - I,33,13.2,0.043,0,2022,6,02/06/2022,0.52,0.71,ambas
CALLAO,2022 - I,207,10.2,0.313,0.018,2022,6,09/06/2022,0.45,,ambas
CALLAO,2022 - I,529,9.9,0.134,0.022,2022,6,10/06/2022,0.78,0.45,ambas
CALLAO,2022 - I,3308,11.5,0.23,0.016,2022,6,11/06/2022,0.81,0.78,ambas
CALLAO,2022 - I,2370,10,0.1,0.01,2022,6,12/06/2022,0.92,0.81,ambas
CALLAO,2022 - I,2690,11.6,0.083,0.025,2022,6,13/06/2022,0.78,0.92,ambas
CALLAO,2022 - I,7175,22.8,0.212,0.005,2022,6,14/06/2022,0.41,0.78,ambas
CALLAO,2022 - I,198,9.8,0.146,0.001,2022,6,16/06/2022,0.02,,ambas
CALLAO,2022 - I,1488,22,0.3,0,2022,6,20/06/2022,0.89,,ambas
CALLAO,2022 - I,3720,23.7,0.112,0,2022,6,21/06/2022,0.75,0.89,ambas
CALLAO,2022 - I,1084,25.7,0.057,0,2022,6,22/06/2022,0.85,0.75,ambas
CALLAO,2022 - I,405,6.5,0.056,0.015,2022,7,01/07/2022,1,,ambas
CALLAO,2022 - I,3507,16.7,0.096,0.006,2022,7,02/07/2022,0.79,1,ambas
CALLAO,2022 - I,3615,14.7,0.123,0.025,2022,7,03/07/2022,0.66,0.79,ambas
CALLAO,2022 - I,2479,13.8,0.204,0.001,2022,7,04/07/2022,0.91,0.66,ambas
CALLAO,2022 - I,1262,10.2,0.252,0.03,2022,7,05/07/2022,0.54,0.91,ambas
CALLAO,2022 - I,2585,24.9,0.485,0.035,2022,7,12/07/2022,0.54,,ambas
CALLAO,2022 - I,2306,14.4,0.155,0.008,2022,7,13/07/2022,0.58,0.54,ambas
CALLAO,2022 - I,3648,15.4,0.2,0.003,2022,7,14/07/2022,0.83,0.58,ambas
CALLAO,2022 - I,1203,10.3,0.236,0.02,2022,7,19/07/2022,0.68,,ambas
CALLAO,2022 - I,4005,13.3,0.062,0,2022,7,20/07/2022,0.5,0.68,ambas
CALLAO,2022 - I,1338,9.5,0.117,0.028,2022,7,21/07/2022,0.87,0.5,ambas
CALLAO,2022 - I,2234,12,0.073,0.009,2022,7,22/07/2022,0.86,0.87,ambas
CALLAO,2022 - I,1750,12,0.083,0.002,2022,7,23/07/2022,0.83,0.86,ambas
CALLAO,2022 - II,3749,10.1,0.341,0,2022,11,23/11/2022,1,,ambas
CALLAO,2022 - II,3773,11,0.077,0.001,2022,11,24/11/2022,0.66,1,ambas
CALLAO,2022 - II,560,8.3,0.089,0.021,2022,11,25/11/2022,1,0.66,ambas
CALLAO,2022 - II,1526,11.6,0.057,0,2022,11,26/11/2022,0.71,1,ambas
CALLAO,2022 - II,626,6.1,0,0.084,2022,11,27/11/2022,0.37,0.71,ambas
CALLAO,2022 - II,4055,11.6,0.117,0.009,2022,11,28/11/2022,0.54,0.37,ambas
CALLAO,2022 - II,2914,11.4,0.085,0.003,2022,11,29/11/2022,0.6,0.54,ambas
CALLAO,2022 - II,3377,11.5,0.123,0,2022,11,30/11/2022,0.5,0.6,ambas
CALLAO,2022 - II,2969,10.3,0.088,0.006,2022,12,01/12/2022,1,0.5,ambas
CALLAO,2022 - II,3143,12.7,0.071,0.011,2022,12,02/12/2022,0.83,1,ambas
CALLAO,2022 - II,1412,10,0.078,0.019,2022,12,03/12/2022,0.63,0.83,ambas
CALLAO,2022 - II,1006,9.2,0.273,0.018,2022,12,04/12/2022,0.74,0.63,ambas
CALLAO,2022 - II,2927,10.4,0.155,0.014,2022,12,05/12/2022,0.51,0.74,ambas
CALLAO,2022 - II,2879,10.6,0.141,0.007,2022,12,06/12/2022,0.43,0.51,ambas
CALLAO,2022 - II,1268,13.9,0.177,0.021,2022,12,07/12/2022,0,0.43,ambas
CALLAO,2022 - II,806,5.4,0.322,0.02,2022,12,10/12/2022,0.02,,ambas
CALLAO,2022 - II,900,12.2,0.285,0.019,2022,12,11/12/2022,0.96,0.02,ambas
CALLAO,2022 - II,523,11.8,0.203,0.005,2022,12,13/12/2022,0.88,,ambas
CALLAO,2022 - II,2122,15.4,0.022,0,2022,12,14/12/2022,0.45,0.88,ambas
CALLAO,2022 - II,2889,19.2,0.025,0,2022,12,15/12/2022,0.43,0.45,ambas
CALLAO,2022 - II,580,18.4,0,0,2022,12,16/12/2022,0.4,0.43,ambas
CALLAO,2022 - II,1902,23.3,0.025,0,2022,12,17/12/2022,0.96,0.4,ambas
CALLAO,2022 - II,532,7.9,0.182,0.037,2022,12,18/12/2022,0,0.96,ambas
