PLANTA,TEMPORADA,F. BATCH,%SP+P,ANO,MES,%SP+P ANTERIOR
CALLAO,2021 - I,2021-04-24,0.4,2021,4,
CALLAO,2021 - I,2021-04-25,0.06,2021,4,0.4
CALLAO,2021 - I,2021-04-26,0.0,2021,4,0.06
CALLAO,2021 - I,2021-04-27,0.78,2021,4,0.0
CALLAO,2021 - I,2021-04-28,0.56,2021,4,0.78
CALLAO,2021 - I,2021-04-29,0.42,2021,4,0.56
CALLAO,2021 - I,2021-04-30,0.26,2021,4,0.42
CALLAO,2021 - I,2021-05-01,0.55,2021,5,0.26
CALLAO,2021 - I,2021-05-02,0.46,2021,5,0.55
CALLAO,2021 - I,2021-05-03,0.65,2021,5,0.46
CALLAO,2021 - I,2021-05-04,0.03,2021,5,0.65
CALLAO,2021 - I,2021-05-05,0.29,2021,5,0.03
CALLAO,2021 - I,2021-05-06,0.0,2021,5,0.29
CALLAO,2021 - I,2021-05-10,0.32,2021,5,
CALLAO,2021 - I,2021-05-11,0.3,2021,5,0.32
CALLAO,2021 - I,2021-05-12,0.36,2021,5,0.3
CALLAO,2021 - I,2021-05-13,0.39,2021,5,0.36
CALLAO,2021 - I,2021-05-14,0.55,2021,5,0.39
CALLAO,2021 - I,2021-05-15,0.4,2021,5,0.55
CALLAO,2021 - I,2021-05-16,0.0,2021,5,0.4
CALLAO,2021 - I,2021-05-17,0.0,2021,5,0.0
CALLAO,2021 - I,2021-05-18,0.0,2021,5,0.0
CALLAO,2021 - I,2021-05-21,0.3,2021,5,
CALLAO,2021 - I,2021-05-22,0.61,2021,5,0.3
CALLAO,2021 - I,2021-05-23,0.69,2021,5,0.61
CALLAO,2021 - I,2021-05-24,0.7,2021,5,0.69
CALLAO,2021 - I,2021-05-25,0.32,2021,5,0.7
CALLAO,2021 - I,2021-05-26,1.0,2021,5,0.32
CALLAO,2021 - I,2021-05-28,0.0,2021,5,
CALLAO,2021 - I,2021-05-29,1.0,2021,5,0.0
CALLAO,2021 - I,2021-05-30,1.0,2021,5,1.0
CALLAO,2021 - I,2021-06-01,0.0,2021,6,
CALLAO,2021 - I,2021-06-02,1.0,2021,6,0.0
CALLAO,2021 - I,2021-06-03,0.87,2021,6,1.0
CALLAO,2021 - I,2021-06-04,0.43,2021,6,0.87
CALLAO,2021 - I,2021-06-05,0.66,2021,6,0.43
CALLAO,2021 - I,2021-06-06,0.85,2021,6,0.66
CALLAO,2021 - I,2021-06-07,0.5,2021,6,0.85
CALLAO,2021 - I,2021-06-08,0.72,2021,6,0.5
CALLAO,2021 - I,2021-06-09,0.53,2021,6,0.72
CALLAO,2021 - I,2021-06-10,0.0,2021,6,0.53
CALLAO,2021 - I,2021-06-11,1.0,2021,6,0.0
CALLAO,2021 - I,2021-06-12,0.76,2021,6,1.0
CALLAO,2021 - I,2021-06-13,1.0,2021,6,0.76
CALLAO,2021 - I,2021-06-15,0.61,2021,6,
